abertura,url,título,categoria,conteúdo,tipo,data_publicação,tags,hierarquia,estado,subcategoria
0.0,https://www.in.gov.br/web/dou/-/edital-de-notificacao-621569037,EDITAL DE NOTIFICAÇÃO,concurso,"EDITAL DE NOTIFICAÇÃO Notificação de Decisão. O CHEFE DA SEÇÃO DE MULTAS E RECURSOS, no uso de suas atribuições legais, e tendo em vista a impossibilidade da notificação via postal, vem notificar as empresas abaixo relacionadas da decisão que julgou procedente o auto de infração, bem como a efetuar o pagamento das multas nos valores mencionados, impostas por infração à legislação trabalhista. As m...",Edital,2025-04-02,[],"['Ministério do Trabalho e Emprego', 'Superintendência Regional do Trabalho\xa0e Emprego no Estado de São Paulo', 'Seção de Multas e Recursos']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/edital-n-37-de-31-de-marco-de-2025-621249355,"EDITAL Nº 37, DE 31 DE MARÇO DE 2025",concurso,"EDITAL Nº 37, DE 31 DE MARÇO DE 2025 HOMOLOGAÇÃO DE PROCESSO SELETIVO SIMPLIFICADO O Reitor da Universidade Federal dos Vales do Jequitinhonha e Mucuri torna público para conhecimento dos interessados e homologa o resultado do Processo Seletivo Simplificado para Professor Substituto temporário, em regime de 20 (vinte) horas semanais para a área de Ciências Biológicas e Ciências da Saúde/Farmácia C...",Edital,2025-04-01,[],"['Ministério da Educação', 'Universidade Federal dos Vales do Jequitinhonha e Mucuri']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/edital-n-16-cnj-de-31-de-marco-de-2025-621478180,"EDITAL Nº 16 - CNJ, DE 31 DE MARÇO DE 2025",concurso,"EDITAL Nº 16 - CNJ, DE 31 DE MARÇO DE 2025 CONCURSO PÚBLICO PARA PROVIMENTO DE VAGAS E A FORMAÇÃO DE CADASTRO DE RESERVA EM CARGOS DE ANALISTA JUDICIÁRIO E TÉCNICO JUDICIÁRIO O DIRETOR-GERAL DO CONSELHO NACIONAL DE JUSTIÇA, em cumprimento a decisões judiciais, torna públicas: a) a inclusão de candidatos(as) sub judice no resultado final no procedimento de heteroidentificação para concorrer às vaga...",Edital,2025-04-02,[],"['Poder Judiciário', 'Conselho Nacional de Justiça']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/edital-n-9-mcti/inpp-de-1-de-abril-de-2025-621518990,"EDITAL Nº 9 - MCTI/INPP, DE 1º DE ABRIL DE 2025",concurso,"EDITAL Nº 9 - MCTI/INPP, DE 1º DE ABRIL DE 2025 CONCURSO PÚBLICO PARA O PROVIMENTO DE VAGAS E A FORMAÇÃO DE CADASTRO DE RESERVA EM CARGOS DE PESQUISADOR ADJUNTO E DE TECNOLOGISTA O Diretor do Instituto Nacional de Pesquisa do Pantanal (INPP) torna público o resultado final na prova discursiva, a convocação para a avaliação biopsicossocial dos candidatos que solicitaram concorrer às vagas reservada...",Edital,2025-04-02,[],"['Ministério da Ciência, Tecnologia e Inovação', 'Instituto Nacional de Pesquisa do Pantanal']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/extratos-de-termos-aditivos-621524239,EXTRATOS DE TERMOS ADITIVOS,concurso,"EXTRATOS DE TERMOS ADITIVOS Espécie: 1º Termo Aditivo ao Contrato nº 039/2024-SEMINFRA Contratante: PMS/Secretaria Municipal de Infraestrutura Contratado: EMUNA COMÉRCIO DE MOBILIÁRIO LTDA - EPP. Objeto: CONSTRUÇÃO DO COMPLEXO DE ESPORTE E LAZER DA CIDADE, NO MUNICÍPIO DE SANTARÉM, NESTE ESTADO. Alteração: Prorrogação de prazos. Vigência: 02.06.2025 à 02.12.2025. Execução: 02.04.2025 à 02.10.2025....",Edital,2025-04-02,[],"['Prefeituras', 'Estado do Pará', 'Prefeitura Municipal de Santarém', 'Secretaria Municipal de Infraestrutura']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/edital-n-9/2025-621316253,Edital Nº 9/2025,concurso,"Edital Nº 9/2025 EDITAL DE NOTIFICAÇÃO A SUPERINTENDENTE DO PATRIMÔNIO DA UNIÃO NO ESTADO DE ALAGOAS, no uso de suas atribuições legais, considerando que foram esgotadas todas as tentativas de notificação pessoal, TORNA PÚBLICO, para conhecimento do interessado(a) FABIO LISBOA DE FIGUEIREDO (representante legal do Sr. Alcino Casado Lisboa falecido e herdeiro do Espólio de JOAQUIM LISBOA SOBRINHO )...",Edital,2025-04-01,[],"['Ministério da Gestão e da Inovação em Serviços Públicos', 'Secretaria do Patrimônio da União', 'Superintendência em Alagoas']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/edital-de-notificacao-621624923,EDITAL DE NOTIFICAÇÃO,concurso,"EDITAL DE NOTIFICAÇÃO Notificação de Decisão. O CHEFE DA SEÇÃO DE MULTAS E RECURSOS, no uso de suas atribuições legais, e tendo em vista a impossibilidade da notificação via postal, vem notificar as empresas abaixo relacionadas da decisão que julgou procedente o auto de infração, bem como a efetuar o pagamento das multas nos valores mencionados, impostas por infração à legislação trabalhista. As m...",Edital,2025-04-02,[],"['Ministério do Trabalho e Emprego', 'Superintendência Regional do Trabalho\xa0e Emprego no Estado de São Paulo', 'Seção de Multas e Recursos']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/aviso-de-licitacao-621520417,AVISO DE LICITAÇÃO,concurso,"AVISO DE LICITAÇÃO PREGÃO PRESENCIAL Nº 3/2025 O Município de Presidente Juscelino/MG torna público, para conhecimento dos interessados, que às 09:00 horas do dia 16/04/2025, no Prédio da Prefeitura Municipal, será realizada a sessão para recebimento e abertura dos envelopes contendo a Proposta e Documentação - Pregão Presencial nº 003/2025, do tipo ""MENOR PREÇO POR ITEM"". Objeto: Contratação de v...",Edital,2025-04-02,[],"['Prefeituras', 'Estado de Minas Gerais', 'Prefeitura Municipal de Presidente Juscelino']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/resultado-de-julgamento-621559477,RESULTADO DE JULGAMENTO,concurso,"RESULTADO DE JULGAMENTO CHAMADA PÚBLICA Nº 1/2025 A Secretária Municipal de Educação comunica o Resultado doa Chamada Pública n° 001/2025, que tem como OBJETO: Aquisição de Gêneros Alimentícios Oriundos da Agricultura Familiar Produção Convencial, e Orgânica/Agroecológica, Para Fornecimento de Alimentação Escolar os Alunos Matriculados nas Escolas da Rede Municipal e Estadual de Ensino, Para Atend...",Edital,2025-04-02,[],"['Prefeituras', 'Estado do Pará', 'Prefeitura Municipal de Santarém', 'SECRETARIA MUNICIPAL DE EDUCAÇÃO']",não avaliado,
0.0,https://www.in.gov.br/web/dou/-/avisos-de-licitacao-621586113,AVISOS DE LICITAÇÃO,concurso,"AVISOS DE LICITAÇÃO PREGÃO ELETRÔNICO Nº 18/2025 CONTRATAÇÃO DE SERVIÇOS DE LOCAÇÃO DE SOM, PALCO E EQUIPAMENTOS DE SONORIZAÇÃO DE PEQUENO, MÉDIO E GRANDE PORTE, A SEREM UTILIZADOS EM EVENTOSDESENVOLVIDOS PELAS SECRETARIAS MUNICIPAIS. A presente contratação dispõe de cota de 25% para Microempresa e Empresa de Pequeno Porte sediada na região de Campo Mourão, considerando o disposto na Lei Complemen...",Edital,2025-04-02,[],"['Prefeituras', 'Estado do Paraná', 'Prefeitura Municipal de Campo Mourão']",não avaliado,
